source_row,partition
443,train
444,validation
445,train
446,test
447,validation
448,train
449,validation
450,train
451,validation
452,train
453,train
454,train
455,validation
456,test
457,test
458,train
459,train
460,train
461,train
462,validation
463,test
464,train
465,test
466,train
467,train
468,train
469,train
470,validation
471,validation
472,train
473,train
474,validation
475,validation
476,train
477,train
478,train
479,train
480,train
481,train
482,validation
483,train
484,validation
485,test
486,validation
487,validation
488,train
489,validation
490,train
491,test
492,train
493,train
494,train
495,validation
496,validation
497,train
498,train
499,train
500,validation
501,validation
502,validation
503,test
504,train
505,test
506,validation
507,validation
508,train
509,train
510,train
511,train
512,validation
513,train
514,train
515,validation
516,train
517,train
518,train
519,train
520,train
521,validation
522,train
523,train
524,train
525,train
526,train
527,validation
528,train
529,train
530,train
531,validation
532,train
533,test
534,train
535,train
536,train
537,validation
538,train
539,train
540,validation
541,test
542,train
543,validation
544,test
545,train
546,train
547,test
548,train
549,train
550,train
551,train
552,test
553,train
554,test
555,train
556,train
557,test
558,validation
559,train
560,train
561,train
562,train
563,train
564,test
565,validation
566,train
567,train
568,train
569,train
570,train
571,train
572,test
573,train
574,test
575,test
576,validation
577,test
578,train
579,train
580,train
581,train
582,test
583,test
584,train
585,train
586,train
587,train
588,test
589,validation
590,train
591,train
592,test
593,train
594,validation
595,train
596,validation
597,validation
598,train
599,train
600,train
601,train
602,train
603,validation
604,train
605,train
606,train
607,train
608,validation
609,train
610,test
611,test
612,train
613,train
614,train
615,train
616,train
617,validation
618,train
619,validation
620,validation
621,train
622,train
623,train
624,train
625,train
626,train
627,test
628,train
629,train
630,train
631,train
632,train
633,validation
634,train
635,train
636,train
637,train
638,validation
639,validation
640,train
641,test
642,train
643,test
644,train
645,train
646,train
647,train
648,test
649,train
650,validation
651,validation
652,train
653,train
654,train
655,test
656,train
657,validation
658,validation
659,train
660,train
661,validation
662,train
663,train
664,test
665,validation
666,test
667,train
668,test
669,train
670,train
671,train
672,test
673,train
674,train
675,validation
676,validation
677,train
678,test
679,train
680,test
681,validation
682,train
683,validation
684,validation
685,test
686,validation
687,train
688,train
689,train
690,train
691,train
692,train
693,test
694,train
695,train
696,train
697,test
698,train
699,validation
700,validation
701,validation
702,train
703,train
704,train
705,train
706,train
707,train
708,train
709,test
710,test
711,train
712,train
713,train
714,train
715,validation
716,train
717,validation
718,train
719,train
720,test
721,train
722,train
723,train
724,train
725,test
726,train
727,train
728,train
729,train
730,test
731,train
732,train
733,test
734,test
735,train
736,train
737,train
738,train
739,train
740,test
741,train
742,validation
743,train
744,test
745,test
746,train
747,train
748,train
749,train
750,train
751,train
752,test
753,train
754,train
755,train
756,test
757,train
758,validation
759,validation
760,train
761,validation
762,test
763,train
764,train
765,validation
766,train
767,train
768,validation
769,train
770,train
771,train
772,test
773,validation
774,train
775,test
776,train
777,test
778,validation
779,train
780,validation
781,train
782,test
783,train
784,train
785,validation
786,train
787,validation
788,test
789,validation
790,validation
791,test
792,train
793,train
794,train
795,train
796,train
797,train
798,test
799,validation
800,validation
801,validation
802,test
803,test
804,validation
805,validation
806,train
807,train
808,train
809,train
810,validation
811,train
812,train
813,train
814,test
815,test
816,test
817,train
818,train
819,test
820,train
821,train
822,test
823,train
824,train
825,test
826,train
827,train
828,test
829,train
830,train
831,train
832,validation
833,train
834,test
835,test
836,validation
837,test
838,test
839,train
840,test
841,train
842,train
843,train
844,train
845,validation
846,test
847,validation
848,train
849,train
850,train
851,validation
852,train
853,train
854,test
855,train
856,train
857,train
858,test
859,train
860,validation
861,test
862,test
863,train
864,test
865,test
866,test
867,test
868,train
869,train
870,train
871,test
872,train
873,validation
874,train
875,train
876,train
877,train
878,train
879,test
880,test
881,train
882,train
883,validation
884,validation
885,train
886,train
887,validation
888,train
889,test
890,validation
891,train
892,test
893,train
894,train
895,train
896,train
897,train
898,train
899,train
900,test
901,test
902,test
903,train
904,test
905,test
906,train
907,train
908,train
909,train
910,train
911,train
912,validation
913,train
914,train
915,train
916,train
917,train
918,train
919,train
920,train
921,train
922,train
923,validation
924,train
925,validation
926,train
927,train
928,train
929,train
930,train
931,train
932,test
933,test
934,validation
935,validation
936,test
937,train
938,train
939,train
940,train
941,train
942,train
943,test
944,train
945,test
946,test
947,train
948,train
949,validation
950,train
951,train
952,train
953,train
954,train
955,test
956,test
957,train
958,train
959,validation
960,validation
961,train
962,train
963,test
964,train
965,validation
966,train
967,train
968,train
969,train
970,train
971,test
972,train
973,train
974,test
975,test
976,train
977,train
978,validation
979,train
980,train
981,validation
982,train
983,train
984,validation
985,train
986,validation
987,test
988,train
989,validation
990,train
991,test
992,validation
993,validation
994,test
995,train
996,train
997,test
998,test
999,train
1000,validation
1001,train
1002,train
1003,train
1004,train
1005,train
1006,test
1007,validation
1008,validation
1009,train
1010,train
1011,validation
1012,train
1013,train
1014,train
1015,validation
1016,validation
1017,validation
1018,test
1019,validation
1020,train
1021,train
1022,validation
1023,test
1024,validation
1025,train
1026,train
1027,validation
1028,test
1029,train
1030,train
1031,validation
1032,train
1033,train
1034,validation
1035,train
1036,test
1037,test
1038,train
1039,train
1040,validation
1041,test
1042,train
1043,test
1044,validation
1045,train
1046,train
1047,validation
1048,train
1049,validation
1050,train
1051,train
1052,train
1053,test
1054,train
1055,train
1056,validation
1057,train
1058,test
1059,validation
1060,train
1061,train
1062,train
1063,test
1064,train
1065,train
1066,train
1067,train
1068,train
1069,train
1070,test
1071,validation
1072,validation
1073,train
1074,train
1075,test
1076,train
1077,validation
1078,train
1079,test
1080,train
1081,test
1082,validation
1083,test
1084,train
1085,train
1086,validation
1087,train
1088,train
1089,test
1090,validation
1091,train
1092,validation
1093,train
1094,train
1095,test
1096,test
1097,validation
1098,train
1099,test
1100,validation
1101,train
1102,train
1103,train
1104,validation
1105,test
1106,test
1107,train
1108,validation
1109,test
1110,train
1111,train
1112,test
1113,train
1114,test
1115,validation
1116,test
1117,train
1118,train
1119,validation
1120,test
1121,train
1122,train
1123,validation
1124,train
1125,train
1126,train
1127,train
1128,validation
1129,train
1130,train
1131,train
1132,train
1133,train
1134,test
1135,train
1136,validation
1137,train
1138,train
1139,train
1140,train
1141,train
1142,validation
1143,train
1144,train
1145,train
1146,validation
1147,train
1148,test
1149,train
1150,train
1151,test
1152,train
1153,train
1154,train
1155,validation
1156,train
1157,train
1158,validation
1159,train
1160,validation
1161,validation
1162,test
1163,train
1164,train
1165,train
1166,train
1167,train
1168,train
1169,train
1170,train
1171,train
1172,train
1173,train
1174,validation
1175,validation
1176,validation
1177,train
1178,validation
1179,train
1180,train
1181,test
1182,train
1183,validation
1184,validation
1185,validation
1186,test
1187,train
1188,train
1189,train
1190,validation
1191,train
1192,validation
1193,train
1194,test
1195,validation
1196,train
1197,validation
1198,train
1199,train
1200,train
1201,train
1202,train
1203,validation
1204,test
1205,train
1206,test
1207,train
1208,train
1209,train
1210,train
1211,train
1212,train
1213,train
1214,validation
1215,train
1216,train
1217,train
1218,train
1219,test
1220,test
1221,test
1222,validation
1223,train
1224,validation
1225,test
1226,train
1227,train
1228,test
1229,validation
1230,train
1231,train
1232,test
1233,validation
1234,train
1235,train
1236,validation
1237,train
1238,validation
1239,validation
1240,test
1241,train
1242,train
1243,validation
1244,train
1245,train
1246,test
1247,train
1248,test
1249,train
1250,test
1251,train
1252,train
1253,train
1254,train
1255,train
1256,train
1257,test
1258,train
1259,train
1260,validation
1261,train
1262,test
1263,train
1264,validation
1265,train
1266,train
1267,train
1268,train
1269,train
1270,train
1271,train
1272,train
1273,train
1274,train
1275,validation
1276,train
1277,train
1278,train
1279,validation
1280,test
1281,test
1282,test
1283,train
1284,validation
1285,train
1286,train
1287,validation
1288,train
1289,train
1290,train
1291,train
1292,test
1293,test
1294,train
1295,train
1296,train
1297,test
1298,train
1299,validation
1300,train
1301,train
1302,train
1303,train
1304,test
1305,train
1306,test
1307,test
1308,test
1309,train
1310,test
1311,validation
1312,train
1313,train
1314,test
1315,validation
1316,train
1317,train
1318,test
1319,train
1320,validation
1321,train
1322,train
1323,train
1324,validation
1325,train
1326,test
1327,test
1328,train
1329,train
1330,train
1331,train
1332,train
1333,train
1334,validation
1335,train
1336,train
1337,test
1338,train
1339,train
1340,validation
1341,train
1342,train
1343,train
1344,test
1345,train
1346,train
1347,validation
1348,validation
1349,train
1350,train
1351,train
1352,train
1353,train
1354,test
1355,train
1356,train
1357,test
1358,train
1359,train
1360,validation
1361,train
1362,train
1363,train
1364,train
1365,validation
1366,train
1367,validation
1368,train
1369,validation
1370,test
1371,validation
1372,test
1373,train
1374,test
1375,train
1376,train
1377,train
1378,train
1379,train
1380,train
1381,test
1382,train
1383,validation
1384,train
1385,train
1386,validation
1387,validation
1388,train
1389,test
1390,train
1391,train
1392,validation
1393,test
1394,test
1395,validation
1396,train
1397,train
1398,validation
1399,test
1400,validation
1401,train
1402,test
1403,train
1404,train
1405,train
1406,validation
1407,train
1408,validation
1409,train
1410,train
1411,train
1412,train
1413,train
1414,test
1415,validation
1416,train
1417,train
1418,train
1419,train
1420,validation
1421,train
1422,train
1423,test
1424,train
1425,train
1426,train
1427,test
1428,train
1429,train
1430,train
1431,test
1432,test
1433,train
1434,train
1435,train
1436,test
1437,validation
1438,train
1439,test
1440,train
1441,test
1442,train
1443,train
1444,train
1445,test
1446,train
1447,test
1448,train
1449,validation
1450,train
1451,train
1452,train
1453,validation
1454,validation
1455,train
1456,test
1457,train
1458,train
1459,train
1460,train
1461,test
1462,train
1463,test
1464,train
1465,train
1466,validation
1467,train
1468,train
1469,train
1470,train
1471,train
1472,train
1473,test
1474,train
1475,test
1476,train
1477,train
1478,train
1479,test
1480,validation
1481,test
1482,train
1483,test
1484,train
1485,train
1486,validation
1487,train
1488,train
1489,validation
1490,validation
1491,train
1492,train
1493,validation
1494,train
1495,train
1496,train
1497,validation
1498,train
1499,validation
1500,train
1501,test
1502,train
1503,test
1504,train
1505,validation
1506,train
1507,train
1508,validation
1509,train
1510,train
1511,test
1512,train
1513,validation
1514,train
1515,train
1516,train
1517,train
1518,train
1519,train
1520,train
1521,test
1522,train
1523,train
1524,train
1525,validation
1526,test
1527,test
1528,train
1529,train
1530,validation
1531,train
1532,validation
1533,train
1534,validation
1535,train
1536,test
1537,test
1538,train
1539,test
1540,test
1541,train
1542,train
1543,train
1544,train
1545,train
1546,train
1547,validation
1548,test
1549,train
1550,train
1551,train
1552,test
1553,test
1554,validation
1555,train
1556,train
1557,train
1558,train
1559,train
1560,train
1561,test
1562,train
1563,validation
1564,validation
1565,test
1566,validation
1567,validation
1568,train
1569,train
1570,train
1571,validation
1572,train
1573,train
1574,train
1575,validation
1576,test
1577,validation
1578,validation
1579,test
1580,train
1581,test
1582,test
1583,test
1584,validation
1585,train
1586,validation
1587,train
1588,train
1589,train
1590,test
1591,train
1592,train
1593,test
1594,train
1595,train
1596,train
1597,validation
1598,test
1599,train
1600,train
1601,test
1602,train
1603,train
1604,train
1605,train
1606,train
1607,train
1608,train
1609,validation
1610,train
1611,validation
1612,train
1613,train
1614,train
1615,train
1616,test
1617,validation
1618,train
1619,train
1620,train
1621,train
1622,train
1623,train
1624,test
1625,train
1626,validation
1627,train
1628,test
1629,test
1630,train
1631,test
1632,validation
1633,train
1634,validation
1635,test
1636,train
1637,validation
1638,test
1639,train
1640,validation
1641,train
1642,validation
1643,train
1644,test
1645,train
1646,test
1647,test
1648,train
1649,train
1650,test
1651,train
1652,validation
1653,test
1654,validation
1655,validation
1656,test
1657,train
1658,train
1659,validation
1660,test
1661,train
1662,train
1663,validation
1664,train
1665,train
1666,train
1667,test
1668,test
1669,validation
1670,test
1671,test
1672,train
1673,train
1674,train
1675,test
1676,train
1677,validation
1678,test
1679,train
1680,train
1681,train
1682,validation
1683,train
1684,train
1685,test
1686,train
1687,train
1688,validation
1689,train
1690,train
1691,train
1692,validation
1693,train
1694,test
1695,validation
1696,train
1697,train
1698,validation
1699,test
1700,test
1701,train
1702,train
1703,train
1704,test
1705,train
1706,train
1707,validation
1708,test
1709,test
1710,train
1711,test
1712,train
1713,train
1714,validation
1715,train
1716,validation
1717,train
1718,train
1719,train
1720,train
1721,train
1722,train
1723,train
1724,train
1725,train
1726,test
1727,train
1728,train
1729,train
1730,validation
1731,train
1732,train
1733,test
1734,train
1735,train
1736,train
1737,train
1738,train
1739,train
1740,train
1741,train
1742,train
1743,train
1744,validation
1745,train
1746,train
1747,train
1748,validation
1749,train
1750,validation
1751,train
1752,train
1753,validation
1754,test
1755,test
1756,train
1757,test
1758,train
1759,train
1760,train
1761,test
1762,validation
1763,train
1764,test
1765,test
1766,validation
1767,test
1768,validation
1769,train
1770,train
1771,train
1772,train
1773,train
1774,train
1775,test
1776,train
1777,test
1778,test
1779,test
1780,validation
1781,train
1782,train
1783,train
1784,test
1785,train
1786,validation
1787,test
1788,test
1789,test
1790,train
1791,validation
1792,train
1793,test
1794,train
1795,train
1796,train
1797,train
1798,train
1799,train
1800,train
1801,test
1802,train
1803,validation
1804,train
1805,validation
1806,train
1807,test
1808,train
1809,train
1810,test
1811,train
1812,validation
1813,validation
1814,train
1815,train
1816,train
1817,test
1818,test
1819,validation
1820,train
1821,train
1822,train
1823,train
1824,validation
1825,train
1826,validation
1827,train
1828,test
1829,validation
1830,train
1831,train
1832,train
1833,validation
1834,train
1835,train
1836,test
1837,train
1838,train
1839,train
1840,train
1841,validation
1842,train
1843,train
1844,train
1845,train
1846,test
1847,train
1848,train
1849,train
1850,train
1851,train
1852,validation
1853,train
1854,train
1855,validation
1856,train
1857,train
1858,train
1859,train
1860,train
1861,validation
1862,train
1863,train
1864,train
1865,validation
1866,train
1867,test
1868,train
1869,train
1870,train
1871,train
1872,validation
1873,train
1874,test
1875,validation
1876,train
1877,train
1878,train
1879,train
1880,test
1881,train
1882,train
1883,test
1884,train
1885,train
1886,test
1887,train
1888,train
1889,test
1890,train
1891,test
1892,train
1893,train
1894,train
1895,train
1896,train
1897,train
1898,train
1899,validation
1900,validation
1901,test
1902,train
1903,train
1904,train
1905,test
1906,train
1907,test
1908,validation
1909,validation
1910,train
1911,train
1912,train
1913,train
1914,train
1915,test
1916,train
1917,validation
1918,test
1919,train
1920,train
1921,train
1922,train
1923,validation
1924,train
1925,train
1926,train
1927,train
1928,test
1929,train
1930,train
1931,train
1932,train
1933,train
1934,validation
1935,test
1936,train
1937,train
1938,train
1939,train
1940,test
1941,validation
1942,train
1943,train
1944,train
1945,validation
1946,validation
1947,test
1948,test
1949,train
1950,test
1951,train
1952,validation
1953,train
1954,train
1955,train
1956,train
1957,train
1958,test
1959,train
1960,train
1961,train
1962,train
1963,train
1964,test
1965,train
1966,validation
1967,train
1968,validation
1969,test
1970,test
1971,train
1972,train
1973,test
1974,train
1975,train
1976,validation
1977,train
1978,train
1979,train
1980,train
1981,train
1982,train
1983,test
1984,train
1985,train
1986,train
1987,train
1988,validation
1989,test
1990,train
1991,validation
1992,train
1993,validation
1994,train
1995,test
1996,test
1997,train
1998,train
1999,test
2000,train
2001,train
2002,train
2003,train
2004,train
2005,train
2006,validation
2007,train
2008,validation
2009,validation
2010,train
2011,train
2012,train
2013,test
2014,train
2015,test
2016,test
2017,train
2018,test
2019,train
2020,validation
2021,train
2022,test
2023,train
2024,validation
2025,train
2026,validation
2027,train
2028,train
2029,train
2030,train
2031,test
2032,validation
2033,validation
2034,train
2035,train
2036,train
2037,train
2038,train
2039,validation
2040,train
2041,validation
2042,train
2043,test
2044,train
2045,test
2046,train
2047,train
2048,train
2049,train
2050,validation
2051,train
2052,validation
2053,validation
2054,test
2055,train
2056,test
2057,validation
2058,train
2059,validation
2060,train
2061,validation
2062,train
2063,train
2064,test
2065,validation
2066,validation
2067,train
2068,test
2069,train
2070,train
2071,train
2072,train
2073,train
2074,train
2075,validation
2076,train
2077,validation
2078,train
2079,test
2080,test
2081,train
2082,train
2083,validation
2084,test
2085,validation
2086,train
2087,train
2088,train
2089,validation
2090,train
2091,test
2092,train
2093,train
2094,test
2095,test
2096,train
2097,validation
2098,validation
2099,train
2100,test
2101,train
2102,train
2103,test
2104,test
2105,train
2106,train
2107,train
2108,test
2109,train
2110,train
2111,train
2112,train
2113,train
2114,test
2115,train
2116,test
2117,train
2118,train
2119,train
2120,test
2121,validation
2122,train
2123,train
2124,validation
2125,validation
2126,validation
2127,validation
2128,train
2129,train
2130,train
2131,train
2132,validation
2133,test
2134,train
2135,train
2136,test
2137,train
2138,validation
2139,train
2140,train
2141,train
2142,train
2143,train
2144,validation
2145,validation
2146,train
2147,test
2148,test
2149,train
2150,train
2151,test
2152,train
2153,validation
2154,train
2155,test
2156,test
2157,train
2158,train
2159,validation
2160,test
2161,test
2162,train
2163,train
2164,test
2165,test
2166,train
2167,test
2168,train
2169,validation
2170,train
2171,train
2172,test
2173,validation
2174,validation
2175,validation
2176,train
2177,train
2178,train
2179,train
2180,test
2181,test
2182,train
2183,train
2184,train
2185,validation
2186,validation
2187,train
2188,train
2189,validation
2190,train
2191,train
2192,validation
2193,test
2194,train
2195,train
2196,test
2197,test
2198,train
2199,validation
2200,train
2201,train
2202,train
2203,train
2204,train
2205,validation
2206,train
2207,train
2208,train
2209,validation
2210,train
2211,validation
2212,validation
2213,validation
2214,train
2215,validation
2216,test
2217,validation
2218,train
2219,train
2220,test
2221,validation
2222,validation
2223,train
2224,test
2225,validation
2226,test
2227,validation
2228,train
2229,test
2230,train
2231,train
2232,train
2233,train
2234,validation
2235,train
2236,train
2237,validation
2238,train
2239,validation
2240,train
2241,train
2242,validation
2243,train
2244,validation
2245,test
2246,validation
2247,train
2248,train
2249,train
2250,test
2251,train
2252,test
2253,train
2254,train
2255,validation
2256,validation
2257,train
2258,train
2259,train
2260,train
2261,train
2262,validation
2263,train
2264,train
2265,train
2266,validation
2267,validation
2268,train
2269,train
2270,validation
2271,test
2272,train
2273,validation
2274,train
2275,train
2276,test
2277,train
2278,test
2279,validation
2280,train
2281,train
2282,test
2283,train
2284,validation
2285,test
2286,validation
2287,train
2288,validation
2289,validation
2290,train
2291,train
2292,test
2293,test
2294,test
2295,test
2296,train
2297,test
2298,train
2299,test
2300,train
2301,validation
2302,train
2303,train
2304,train
2305,train
2306,train
2307,train
2308,train
2309,train
2310,train
2311,train
2312,train
2313,test
2314,train
2315,train
2316,train
2317,train
2318,train
2319,validation
2320,train
2321,test
2322,train
2323,test
2324,train
2325,test
2326,train
2327,train
2328,test
2329,train
2330,validation
2331,train
2332,train
2333,train
2334,validation
2335,train
2336,validation
2337,test
2338,train
2339,validation
2340,train
2341,train
2342,validation
2343,train
2344,validation
2345,train
2346,train
2347,validation
2348,validation
2349,train
2350,train
2351,test
2352,validation
2353,train
2354,test
2355,train
2356,train
2357,test
2358,train
2359,train
2360,validation
2361,train
2362,train
2363,validation
2364,train
2365,test
2366,train
2367,test
2368,test
2369,train
2370,train
2371,train
2372,train
2373,test
2374,train
2375,train
2376,test
2377,train
2378,test
2379,test
2380,test
2381,train
2382,train
2383,train
2384,train
2385,train
2386,train
2387,train
2388,train
2389,train
2390,train
2391,validation
2392,train
2393,train
2394,train
2395,train
2396,validation
2397,train
2398,train
2399,train
2400,validation
2401,test
2402,train
2403,test
2404,train
2405,validation
2406,train
2407,train
2408,test
2409,test
2410,train
2411,train
2412,test
2413,validation
2414,test
2415,train
2416,train
2417,train
2418,train
2419,train
2420,train
2421,validation
2422,train
2423,train
2424,train
2425,test
2426,test
2427,test
2428,test
2429,test
2430,train
2431,train
2432,test
2433,train
2434,validation
2435,validation
2436,train
2437,train
2438,train
2439,validation
2440,test
2441,validation
2442,train
2443,train
2444,train
2445,test
2446,train
2447,train
2448,train
2449,train
2450,train
2451,test
2452,train
2453,train
2454,train
2455,train
2456,train
2457,train
2458,validation
2459,train
2460,train
2461,validation
2462,validation
2463,validation
2464,train
2465,validation
2466,validation
2467,train
2468,test
2469,train
2470,train
2471,train
2472,test
2473,train
2474,train
2475,train
2476,train
2477,train
2478,train
2479,train
2480,train
2481,train
2482,train
2483,train
2484,train
2485,test
2486,test
2487,train
2488,train
2489,test
2490,test
2491,test
2492,test
2493,validation
2494,validation
2495,test
2496,validation
2497,train
2498,validation
2499,train
2500,test
2501,train
2502,test
2503,train
2504,train
2505,train
2506,validation
2507,train
2508,train
2509,validation
2510,validation
2511,test
2512,test
2513,train
2514,train
2515,train
2516,train
2517,train
2518,validation
2519,validation
2520,validation
2521,train
2522,train
2523,test
2524,train
2525,validation
2526,test
2527,test
2528,train
2529,test
2530,train
2531,train
2532,validation
2533,train
2534,validation
2535,test
2536,test
2537,train
2538,validation
2539,train
2540,train
2541,train
2542,test
2543,validation
2544,train
2545,test
2546,test
2547,test
2548,validation
2549,train
2550,train
2551,train
2552,train
2553,validation
2554,train
2555,train
2556,validation
2557,train
2558,train
2559,test
2560,test
2561,test
2562,train
2563,train
2564,validation
2565,train
2566,train
2567,validation
2568,validation
2569,train
2570,train
2571,validation
2572,test
2573,train
2574,validation
2575,train
2576,train
2577,train
2578,validation
2579,train
2580,validation
2581,test
2582,test
2583,train
2584,train
2585,validation
2586,train
2587,train
2588,train
2589,test
2590,train
2591,train
2592,train
2593,train
2594,train
2595,train
2596,train
2597,validation
2598,validation
2599,train
2600,train
2601,train
2602,validation
2603,validation
2604,train
2605,test
2606,train
2607,test
2608,train
2609,validation
2610,train
2611,validation
2612,train
2613,validation
2614,train
2615,train
2616,test
2617,train
2618,train
2619,test
2620,test
2621,test
2622,train
2623,train
2624,train
2625,validation
2626,train
2627,train
2628,train
2629,train
2630,train
2631,train
2632,train
2633,train
2634,train
2635,train
2636,train
2637,train
2638,train
2639,train
2640,train
2641,train
2642,train
2643,validation
2644,train
2645,test
2646,train
2647,validation
2648,train
2649,train
2650,test
2651,train
2652,train
2653,train
2654,train
2655,train
2656,train
2657,test
2658,test
2659,train
2660,test
2661,validation
2662,train
2663,test
2664,train
2665,test
2666,validation
2667,train
2668,train
2669,train
2670,test
2671,train
2672,validation
2673,validation
2674,train
2675,train
2676,train
2677,train
2678,train
2679,validation
2680,validation
2681,test
2682,test
2683,test
2684,train
2685,train
2686,train
2687,train
2688,train
2689,test
2690,train
2691,train
2692,validation
2693,validation
2694,train
2695,train
2696,train
2697,train
2698,validation
2699,train
2700,train
2701,train
2702,train
2703,validation
2704,test
2705,train
2706,test
2707,train
2708,train
2709,train
2710,test
2711,train
2712,validation
2713,validation
2714,train
2715,test
2716,train
2717,validation
2718,validation
2719,train
2720,train
2721,train
2722,train
2723,train
2724,train
2725,train
2726,validation
2727,test
2728,test
2729,validation
2730,train
2731,train
2732,test
2733,train
2734,test
2735,test
2736,test
2737,validation
2738,train
2739,train
2740,train
2741,train
2742,train
2743,train
2744,test
2745,test
2746,test
2747,train
2748,train
2749,train
2750,train
2751,train
2752,test
2753,train
2754,train
2755,test
2756,validation
2757,train
2758,test
2759,train
2760,train
2761,train
2762,test
2763,train
2764,train
2765,test
2766,train
2767,validation
2768,validation
2769,train
2770,train
2771,train
2772,train
2773,train
2774,validation
2775,train
2776,validation
2777,validation
2778,train
2779,train
2780,train
2781,validation
2782,train
2783,test
2784,test
2785,validation
2786,train
2787,train
2788,validation
2789,train
2790,test
2791,validation
2792,train
2793,train
2794,test
2795,train
2796,train
2797,train
2798,train
2799,train
2800,train
2801,test
2802,train
2803,train
2804,train
2805,train
2806,train
2807,train
2808,validation
2809,train
2810,train
2811,train
2812,test
2813,train
2814,train
2815,train
2816,test
2817,validation
2818,train
2819,train
2820,test
2821,train
2822,test
2823,test
2824,validation
2825,train
2826,validation
2827,train
2828,train
2829,train
2830,train
2831,test
2832,test
2833,train
2834,train
2835,test
2836,train
2837,validation
2838,train
2839,test
2840,test
2841,validation
2842,validation
2843,train
2844,train
2845,train
2846,train
2847,train
2848,train
2849,validation
2850,train
2851,validation
2852,train
2853,test
2854,train
2855,train
2856,train
2857,test
2858,validation
2859,train
2860,validation
2861,train
2862,validation
2863,train
2864,train
2865,test
2866,validation
2867,validation
2868,train
2869,train
2870,train
2871,train
2872,train
2873,train
2874,train
2875,train
2876,train
2877,validation
2878,test
2879,train
2880,validation
2881,test
